"symbol","name","market","asset_type","country"
"135A.T","VRAIN Solution","TSE","equity","japan"
"1360.T","シンプレクス・アセット・マネジメント株式会社 日経平均ベア2倍上場投信","TSE","equity","japan"
"1364.T","ブラックロック・ジャパン株式会社 iシェアーズ JPX日経400 ETF","TSE","equity","japan"
"1365.T","大和アセットマネジメント株式会社 iFreeETF 日経平均レバレッジ・インデックス","TSE","equity","japan"
"1366.T","大和アセットマネジメント株式会社 iFreeETF 日経平均ダブルインバース・インデックス","TSE","equity","japan"
"1367.T","大和アセットマネジメント株式会社 iFreeETF TOPIXレバレッジ(2倍)指数","TSE","equity","japan"
"1368.T","大和アセットマネジメント株式会社 iFreeETF TOPIXダブルインバース(−2倍)指数","TSE","equity","japan"
"1369.T","アセットマネジメントOne株式会社 One ETF 日経225","TSE","equity","japan"
"136A.T","三興商事","TSE","equity","japan"
"1375.T","雪国まいたけ","TSE","equity","japan"
"1376.T","カネコ種苗","TSE","equity","japan"
"1377.T","サカタのタネ","TSE","equity","japan"
"1379.T","ホクト","TSE","equity","japan"
"137A.T","Cocolive","TSE","equity","japan"
"1380.T","秋川牧園","TSE","equity","japan"
"1381.T","アクシーズ","TSE","equity","japan"
"1382.T","ホーブ","TSE","equity","japan"
"1383.T","ベルグアース","TSE","equity","japan"
"1384.T","ホクリヨウ","TSE","equity","japan"
"138A.T","光フードサービス","TSE","equity","japan"
"1397.T","三井住友DSアセットマネジメント株式会社 SMDAM 日経225上場投信","TSE","equity","japan"
"1398.T","三井住友DSアセットマネジメント株式会社 SMDAM 東証REIT指数上場投信","TSE","equity","japan"
"1399.T","日興アセットマネジメント株式会社 上場インデックスファンドMSCI日本株高配当低ボラティリティ","TSE","equity","japan"
"139A.T","東日本地所","TSE","equity","japan"
"1401.T","エムビーエス","TSE","equity","japan"
"1407.T","ウエストホールディングス","TSE","equity","japan"
"140A.T","大和アセットマネジメント株式会社 iFreeETF 米国10年国債先物インバース","TSE","equity","japan"
"1414.T","ショーボンドホールディングス","TSE","equity","japan"
"1417.T","ミライト・ワン","TSE","equity","japan"
"1418.T","インターライフホールディングス","TSE","equity","japan"
"1419.T","タマホーム","TSE","equity","japan"
"141A.T","トライアルホールディングス","TSE","equity","japan"
"1420.T","サンヨーホームズ","TSE","equity","japan"
"1429.T","日本アクア","TSE","equity","japan"
"142A.T","ジンジブ","TSE","equity","japan"
"1430.T","ファーストコーポレーション","TSE","equity","japan"
"1431.T","Lib Work","TSE","equity","japan"
"1432.T","動力","TSE","equity","japan"
"1433.T","ベステラ","TSE","equity","japan"
"1434.T","JESCOホールディングス","TSE","equity","japan"
"1435.T","robot home","TSE","equity","japan"
"1436.T","GreenEnergy & Company","TSE","equity","japan"
"1438.T","岐阜造園","TSE","equity","japan"
"1439.T","安江工務店","TSE","equity","japan"
"143A.T","イシン","TSE","equity","japan"
"1443.T","技研ホールディングス","TSE","equity","japan"
"1444.T","ニッソウ","TSE","equity","japan"
"1445.T","ひかりホールディングス","TSE","equity","japan"
"1446.T","キャンディル","TSE","equity","japan"
"1447.T","ITbookホールディングス","TSE","equity","japan"
"144A.T","エネルギーパワー","TSE","equity","japan"
"1450.T","田中建設工業","TSE","equity","japan"
"1451.T","KHC","TSE","equity","japan"
"1452.T","横浜ライト工業","TSE","equity","japan"
"1456.T","大和アセットマネジメント株式会社 iFreeETF 日経平均インバース・インデックス","TSE","equity","japan"
"1457.T","大和アセットマネジメント株式会社 iFreeETF TOPIXインバース(−1倍)指数","TSE","equity","japan"
"1458.T","楽天投信投資顧問株式会社 楽天ETF‐日経レバレッジ指数連動型","TSE","equity","japan"
"1459.T","楽天投信投資顧問株式会社 楽天ETF‐日経ダブルインバース指数連動型","TSE","equity","japan"
"145A.T","L is B","TSE","equity","japan"
"1464.T","大和アセットマネジメント株式会社 iFreeETF JPX日経400レバレッジ・インデックス","TSE","equity","japan"
"1465.T","大和アセットマネジメント株式会社 iFreeETF JPX日経400インバース・インデックス","TSE","equity","japan"
"1466.T","大和アセットマネジメント株式会社 iFreeETF JPX日経400ダブルインバース・インデックス","TSE","equity","japan"
"1469.T","シンプレクス・アセット・マネジメント株式会社 JPX日経400ベア2倍上場投信(ダブルインバース)","TSE","equity","japan"
"146A.T","コロンビア・ワークス","TSE","equity","japan"
"1472.T","野村アセットマネジメント株式会社 NEXT FUNDS JPX日経400ダブルインバース・インデックス連動型上場投信","TSE","equity","japan"
"1473.T","アセットマネジメントOne株式会社 One ETF トピックス","TSE","equity","japan"
"1474.T","アセットマネジメントOne株式会社 One ETF JPX日経400","TSE","equity","japan"
"1475.T","ブラックロック・ジャパン株式会社 iシェアーズ・コア TOPIX ETF","TSE","equity","japan"
"1476.T","ブラックロック・ジャパン株式会社 iシェアーズ・コア Jリート ETF","TSE","equity","japan"
"1477.T","ブラックロック・ジャパン株式会社 iシェアーズ MSCI 日本株最小分散 ETF","TSE","equity","japan"
"1478.T","ブラックロック・ジャパン株式会社 iシェアーズ MSCI ジャパン高配当利回り ETF","TSE","equity","japan"
"1479.T","大和アセットマネジメント株式会社 iFreeETF MSCI日本株人材設備投資指数","TSE","equity","japan"
"147A.T","ソラコム","TSE","equity","japan"
"1480.T","野村アセットマネジメント株式会社 NEXT FUNDS 野村企業価値分配指数連動型上場投信","TSE","equity","japan"
"1481.T","日興アセットマネジメント株式会社 上場インデックスファンド日本経済貢献株","TSE","equity","japan"
"1482.T","ブラックロック・ジャパン株式会社 iシェアーズ・コア 米国債7−10年 ETF(為替ヘッジあり)","TSE","equity","japan"
"1483.T","ブラックロック・ジャパン株式会社 iシェアーズ JPX/S&P設備・人材投資 ETF","TSE","equity","japan"
"1484.T","アセットマネジメントOne株式会社 One ETF JPX/S&P 設備・人材投資指数","TSE","equity","japan"
"1485.T","三菱UFJアセットマネジメント株式会社 MAXIS JAPAN 設備・人材積極投資企業200上場投信","TSE","equity","japan"
"1486.T","日興アセットマネジメント株式会社 上場インデックスファンド米国債券(為替ヘッジなし)","TSE","equity","japan"
"1487.T","日興アセットマネジメント株式会社 上場インデックスファンド米国債券(為替ヘッジあり)","TSE","equity","japan"
"1488.T","大和アセットマネジメント株式会社 iFreeETF 東証REIT指数","TSE","equity","japan"
"1489.T","野村アセットマネジメント株式会社 NEXT FUNDS 日経平均高配当株50指数連動型上場投信","TSE","equity","japan"
"148A.T","ハッチ・ワーク","TSE","equity","japan"
"1490.T","日興アセットマネジメント株式会社 上場インデックスファンドMSCI日本株高配当低ボラティリティ(βヘッジ)","TSE","equity","japan"
"1491.T","中外鉱業","TSE","equity","japan"
"1493.T","アセットマネジメントOne株式会社 One ETF JPX日経中小型","TSE","equity","japan"
"1494.T","アセットマネジメントOne株式会社 One ETF 高配当日本株","TSE","equity","japan"
"1495.T","日興アセットマネジメント株式会社 上場インデックスファンドアジアリート","TSE","equity","japan"
"1496.T","ブラックロック・ジャパン株式会社 iシェアーズ 米ドル建て投資適格社債 ETF(為替ヘッジあり)","TSE","equity","japan"
"1497.T","ブラックロック・ジャパン株式会社 iシェアーズ 米ドル建てハイイールド社債 ETF(為替ヘッジあり)","TSE","equity","japan"
"1498.T","アセットマネジメントOne株式会社 One ETF ESG","TSE","equity","japan"
"1499.T","三菱UFJアセットマネジメント株式会社 MAXIS日本株高配当70マーケットニュートラル上場投信","TSE","equity","japan"
"149A.T","シンカ","TSE","equity","japan"
"150A.T","JSH","TSE","equity","japan"
"1514.T","住石ホールディングス","TSE","equity","japan"
"1515.T","日鉄鉱業","TSE","equity","japan"
"1518.T","三井松島ホールディングス","TSE","equity","japan"
"151A.T","ダイブ","TSE","equity","japan"
"152A.T","オプティ","TSE","equity","japan"
"153A.T","カウリス","TSE","equity","japan"
"1540.T","三菱UFJ信託銀行株式会社 純金上場信託(現物国内保管型)","TSE","equity","japan"
"1541.T","三菱UFJ信託銀行株式会社 純プラチナ上場信託(現物国内保管型)","TSE","equity","japan"
"1542.T","三菱UFJ信託銀行株式会社 純銀上場信託(現物国内保管型)","TSE","equity","japan"
"1543.T","三菱UFJ信託銀行株式会社 純パラジウム上場信託(現物国内保管型)","TSE","equity","japan"
"1545.T","野村アセットマネジメント株式会社 NEXT FUNDS NASDAQ−100(為替ヘッジなし)連動型上場投信","TSE","equity","japan"
"1546.T","野村アセットマネジメント株式会社 NEXT FUNDS ダウ・ジョーンズ工業株30種平均株価(為替ヘッジなし)連動型上場投信","TSE","equity","japan"
"1547.T","日興アセットマネジメント株式会社 上場インデックスファンド米国株式(S&P500)","TSE","equity","japan"
"154A.T","GAIA","TSE","equity","japan"
"1550.T","三菱UFJアセットマネジメント株式会社 MAXIS 海外株式(MSCIコクサイ)上場投信","TSE","equity","japan"
"1551.T","シンプレクス・アセット・マネジメント株式会社 東証スタンダードTOP20ETF","TSE","equity","japan"
"1554.T","日興アセットマネジメント株式会社 上場インデックスファンド世界株式(MSCI ACWI)除く日本","TSE","equity","japan"
"1555.T","日興アセットマネジメント株式会社 上場インデックスファンド豪州リート(S&P/ASX200 A−REIT)","TSE","equity","japan"
"1557.T","ステート・ストリート・グローバル・アドバイザーズ・トラスト・カンパニー SPDR S&P500 ETF","TSE","equity","japan"
"1559.T","野村アセットマネジメント株式会社 NEXT FUNDS タイ株式SET50指数連動型上場投信","TSE","equity","japan"
"155A.T","情報戦略テクノロジー","TSE","equity","japan"
"1560.T","野村アセットマネジメント株式会社 NEXT FUNDS FTSEブルサ・マレーシアKLCI連動型上場投信","TSE","equity","japan"
"1563.T","シンプレクス・アセット・マネジメント株式会社 東証グロース・コアETF","TSE","equity","japan"
"1566.T","日興アセットマネジメント株式会社 上場インデックスファンド新興国債券","TSE","equity","japan"
"1568.T","シンプレクス・アセット・マネジメント株式会社 TOPIXブル2倍上場投信","TSE","equity","japan"
"1569.T","シンプレクス・アセット・マネジメント株式会社 TOPIXベア上場投信","TSE","equity","japan"
"156A.T","マテリアルグループ","TSE","equity","japan"
"1570.T","野村アセットマネジメント株式会社 NEXT FUNDS日経平均レバレッジ・インデックス連動型上場投信","TSE","equity","japan"
"1571.T","野村アセットマネジメント株式会社 NEXT FUNDS日経平均インバース・インデックス連動型上場投信","TSE","equity","japan"
"1572.T","シンプレクス・アセット・マネジメント株式会社 中国H株ブル2倍上場投信","TSE","equity","japan"
"1573.T","シンプレクス・アセット・マネジメント株式会社 中国H株ベア上場投信","TSE","equity","japan"
"1577.T","野村アセットマネジメント株式会社 NEXT FUNDS 野村日本株高配当70連動型上場投信","TSE","equity","japan"
"1578.T","日興アセットマネジメント株式会社 上場インデックスファンド日経225(ミニ)","TSE","equity","japan"
"1579.T","シンプレクス・アセット・マネジメント株式会社 日経平均ブル2倍上場投信","TSE","equity","japan"
"157A.T","グリーンモンスター","TSE","equity","japan"
"1580.T","シンプレクス・アセット・マネジメント株式会社 日経平均ベア上場投信","TSE","equity","japan"
"1585.T","大和アセットマネジメント株式会社 iFreeETF TOPIX Ex−Financials","TSE","equity","japan"
"1586.T","日興アセットマネジメント株式会社 上場インデックスファンドTOPIX Ex−Financials","TSE","equity","japan"
"158A.T","エクセリ","TSE","equity","japan"
"1591.T","野村アセットマネジメント株式会社 NEXT FUNDS JPX日経インデックス400連動型上場投信","TSE","equity","japan"
"1592.T","日興アセットマネジメント株式会社 上場インデックスファンドJPX日経インデックス400","TSE","equity","japan"
"1593.T","三菱UFJアセットマネジメント株式会社 MAXIS JPX日経インデックス400上場投信","TSE","equity","japan"
"1595.T","農林中金全共連アセットマネジメント株式会社 NZAM 上場投信 東証REIT指数","TSE","equity","japan"
"1596.T","農林中金全共連アセットマネジメント株式会社 NZAM 上場投信 TOPIX Ex−Financials","TSE","equity","japan"
"1597.T","三菱UFJアセットマネジメント株式会社 MAXIS Jリート上場投信","TSE","equity","japan"
"1599.T","大和アセットマネジメント株式会社 iFreeETF JPX日経400","TSE","equity","japan"
"159A.T","野村アセットマネジメント株式会社 NEXT FUNDS JPXプライム150指数連動型上場投信","TSE","equity","japan"
"1605.T","INPEX","TSE","equity","japan"
"160A.T","アズパートナーズ","TSE","equity","japan"
"1615.T","野村アセットマネジメント株式会社 NEXT FUNDS 東証銀行業株価指数連動型上場投信","TSE","equity","japan"
"1617.T","野村アセットマネジメント株式会社 NEXT FUNDS 食品(TOPIX−17)上場投信","TSE","equity","japan"
"1618.T","野村アセットマネジメント株式会社 NEXT FUNDS エネルギー資源(TOPIX−17)上場投信","TSE","equity","japan"
"1619.T","野村アセットマネジメント株式会社 NEXT FUNDS 建設・資材(TOPIX−17)上場投信","TSE","equity","japan"
"161A.T","三葉","TSE","equity","japan"
"1620.T","野村アセットマネジメント株式会社 NEXT FUNDS 素材・化学(TOPIX−17)上場投信","TSE","equity","japan"
"1621.T","野村アセットマネジメント株式会社 NEXT FUNDS 医薬品(TOPIX−17)上場投信","TSE","equity","japan"
"1622.T","野村アセットマネジメント株式会社 NEXT FUNDS 自動車・輸送機(TOPIX−17)上場投信","TSE","equity","japan"
"1623.T","野村アセットマネジメント株式会社 NEXT FUNDS 鉄鋼・非鉄(TOPIX−17)上場投信","TSE","equity","japan"
"1624.T","野村アセットマネジメント株式会社 NEXT FUNDS 機械(TOPIX−17)上場投信","TSE","equity","japan"
"1625.T","野村アセットマネジメント株式会社 NEXT FUNDS 電機・精密(TOPIX−17)上場投信","TSE","equity","japan"
"1626.T","野村アセットマネジメント株式会社 NEXT FUNDS 情報通信・サービスその他(TOPIX−17)上場投信","TSE","equity","japan"
"1627.T","野村アセットマネジメント株式会社 NEXT FUNDS 電力・ガス(TOPIX−17)上場投信","TSE","equity","japan"
"1628.T","野村アセットマネジメント株式会社 NEXT FUNDS 運輸・物流(TOPIX−17)上場投信","TSE","equity","japan"
"1629.T","野村アセットマネジメント株式会社 NEXT FUNDS 商社・卸売(TOPIX−17)上場投信","TSE","equity","japan"
"162A.T","三菱UFJ証券ホールディングス株式会社 AIセレクトメガトレンド 日本株(ネットリターン)ETN","TSE","equity","japan"
"1630.T","野村アセットマネジメント株式会社 NEXT FUNDS 小売(TOPIX−17)上場投信","TSE","equity","japan"
"1631.T","野村アセットマネジメント株式会社 NEXT FUNDS 銀行(TOPIX−17)上場投信","TSE","equity","japan"
"1632.T","野村アセットマネジメント株式会社 NEXT FUNDS 金融(除く銀行)(TOPIX−17)上場投信","TSE","equity","japan"
"1633.T","野村アセットマネジメント株式会社 NEXT FUNDS 不動産(TOPIX−17)上場投信","TSE","equity","japan"
"163A.T","三菱UFJ証券ホールディングス株式会社 半導体フォーカス 日本株(ネットリターン)ETN","TSE","equity","japan"
"164A.T","アップルパーク","TSE","equity","japan"
"1651.T","大和アセットマネジメント株式会社 iFreeETF TOPIX高配当40指数","TSE","equity","japan"
"1652.T","大和アセットマネジメント株式会社 iFreeETF MSCI日本株女性活躍指数(WIN)","TSE","equity","japan"
"1653.T","大和アセットマネジメント株式会社 iFreeETF MSCIジャパンESGセレクト・リーダーズ指数","TSE","equity","japan"
"1654.T","大和アセットマネジメント株式会社 iFreeETF FTSE Blossom Japan Index","TSE","equity","japan"
"1655.T","ブラックロック・ジャパン株式会社 iシェアーズ S&P 500 米国株 ETF","TSE","equity","japan"
"1656.T","ブラックロック・ジャパン株式会社 iシェアーズ・コア 米国債7−10年 ETF","TSE","equity","japan"
"1657.T","ブラックロック・ジャパン株式会社 iシェアーズ・コア MSCI 先進国株(除く日本)ETF","TSE","equity","japan"
"1658.T","ブラックロック・ジャパン株式会社 iシェアーズ・コア MSCI 新興国株 ETF","TSE","equity","japan"
"1659.T","ブラックロック・ジャパン株式会社 iシェアーズ 米国リート ETF","TSE","equity","japan"
"165A.T","SBIレオスひふみ","TSE","equity","japan"
"1660.T","三菱UFJアセットマネジメント株式会社 MAXIS高利回りJリート上場投信","TSE","equity","japan"
"1662.T","石油資源開発","TSE","equity","japan"
"1663.T","K&Oエナジーグループ","TSE","equity","japan"
"166A.T","タスキホールディングス","TSE","equity","japan"
"1671.T","シンプレクス・アセット・マネジメント株式会社 WTI原油価格連動型上場投信","TSE","equity","japan"
"1672.T","ウィズダムツリー・メタル・セキュリティーズ・リミテッド WisdomTree 金上場投資信託","TSE","equity","japan"
"1673.T","ウィズダムツリー・メタル・セキュリティーズ・リミテッド WisdomTree 銀上場投資信託","TSE","equity","japan"
"1674.T","ウィズダムツリー・メタル・セキュリティーズ・リミテッド WisdomTree 白金上場投資信託","TSE","equity","japan"
"1675.T","ウィズダムツリー・メタル・セキュリティーズ・リミテッド WisdomTree パラジウム上場投資信託","TSE","equity","japan"
"1676.T","ウィズダムツリー・メタル・セキュリティーズ・リミテッド WisdomTree 貴金属バスケット上場投資信託","TSE","equity","japan"
"1677.T","日興アセットマネジメント株式会社 上場インデックスファンド海外債券(FTSE WGBI)毎月分配型","TSE","equity","japan"
"1678.T","野村アセットマネジメント株式会社 NEXT FUNDS インド株式指数・Nifty 50 連動型上場投信","TSE","equity","japan"
"1679.T","シンプレクス・アセット・マネジメント株式会社 Simple−X NY ダウ・ジョーンズ・インデックス上場投信","TSE","equity","japan"
"167A.T","リョーサン菱洋ホールディングス","TSE","equity","japan"
"1680.T","日興アセットマネジメント株式会社 上場インデックスファンド海外先進国株式(MSCI−KOKUSAI)","TSE","equity","japan"
"1681.T","日興アセットマネジメント株式会社 上場インデックスファンド海外新興国株式(MSCI エマージング)","TSE","equity","japan"
"1682.T","野村アセットマネジメント株式会社 NEXT FUNDS 日経・JPX白金指数連動型上場投信","TSE","equity","japan"
"1684.T","ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド WisdomTree ブロード上場投資信託","TSE","equity","japan"
"1685.T","ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド WisdomTree エネルギー上場投資信託","TSE","equity","japan"
"1686.T","ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド WisdomTree 産業用金属上場投資信託","TSE","equity","japan"
"1687.T","ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド WisdomTree 農産物上場投資信託","TSE","equity","japan"
"1688.T","ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド WisdomTree 穀物上場投資信託","TSE","equity","japan"
"1689.T","ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド WisdomTree 天然ガス上場投資信託","TSE","equity","japan"
"168A.T","イタミアート","TSE","equity","japan"
"1690.T","ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド WisdomTree WTI 原油上場投資信託","TSE","equity","japan"
"1691.T","ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド WisdomTree ガソリン上場投資信託","TSE","equity","japan"
"1692.T","ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド WisdomTree アルミニウム上場投資信託","TSE","equity","japan"
"1693.T","ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド WisdomTree 銅上場投資信託","TSE","equity","japan"
"1694.T","ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド WisdomTree ニッケル上場投資信託","TSE","equity","japan"
"1695.T","ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド WisdomTree 小麦上場投資信託","TSE","equity","japan"
"1696.T","ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド WisdomTree とうもろこし上場投資信託","TSE","equity","japan"
"1697.T","ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド WisdomTree 大豆上場投資信託","TSE","equity","japan"
"1698.T","日興アセットマネジメント株式会社 上場インデックスファンド日本高配当(東証配当フォーカス100)","TSE","equity","japan"
"1699.T","野村アセットマネジメント株式会社 NEXT FUNDS NOMURA 原油インデックス連動型上場投信","TSE","equity","japan"
"170A.T","三井住友トラスト・アセットマネジメント株式会社 SMT ETF日本好配当株アクティブ","TSE","equity","japan"
"1711.T","SDSホールディングス","TSE","equity","japan"
"1712.T","ダイセキ環境ソリューション","TSE","equity","japan"
"1716.T","第一カッター興業","TSE","equity","japan"
"1717.T","明豊ファシリティワークス","TSE","equity","japan"
"1718.T","美樹工業","TSE","equity","japan"
"1719.T","安藤・間","TSE","equity","japan"
"171A.T","ゼロジャパン","TSE","equity","japan"
"1720.T","東急建設","TSE","equity","japan"
"1721.T","コムシスホールディングス","TSE","equity","japan"
"1723.T","日本電技","TSE","equity","japan"
"1724.T","シンクレイヤ","TSE","equity","japan"
"1726.T","ビーアールホールディングス","TSE","equity","japan"
"172A.T","ネオホーム","TSE","equity","japan"
"1730.T","麻生フオームクリート","TSE","equity","japan"
"1736.T","オーテック","TSE","equity","japan"
"173A.T","ハンモック","TSE","equity","japan"
"1743.T","コーアツ工業","TSE","equity","japan"
"174A.T","エージェンテック","TSE","equity","japan"
"1757.T","創建エース","TSE","equity","japan"
"1758.T","太洋基礎工業","TSE","equity","japan"
"175A.T","Will Smart","TSE","equity","japan"
"1762.T","高松コンストラクショングループ","TSE","equity","japan"
"1764.T","工藤建設","TSE","equity","japan"
"1766.T","東建コーポレーション","TSE","equity","japan"
"1768.T","ソネック","TSE","equity","japan"
"176A.T","レジル","TSE","equity","japan"
"1770.T","藤田エンジニアリング","TSE","equity","japan"
"1773.T","ワイ・ティー・エル・コーポレーション・バーハッド","TSE","equity","japan"
"1775.T","富士古河E&C","TSE","equity","japan"
"1776.T","三井住建道路","TSE","equity","japan"
"177A.T","コージンバイオ","TSE","equity","japan"
"1780.T","ヤマウラ","TSE","equity","japan"
"1783.T","fantasista","TSE","equity","japan"
"1786.T","オリエンタル白石","TSE","equity","japan"
"1787.T","ナカボーテック","TSE","equity","japan"
"1788.T","三東工業社","TSE","equity","japan"
"1789.T","ETSホールディングス","TSE","equity","japan"
"178A.T","Global X Japan株式会社 グローバルX 革新的優良企業 ETF","TSE","equity","japan"
"1793.T","大本組","TSE","equity","japan"
"1795.T","マサル","TSE","equity","japan"
"1798.T","守谷商会","TSE","equity","japan"
"1799.T","第一建設工業","TSE","equity","japan"
"179A.T","Global X Japan株式会社 グローバルX 超長期米国債 ETF(為替ヘッジあり)","TSE","equity","japan"
"1801.T","大成建設","TSE","equity","japan"
"1802.T","大林組","TSE","equity","japan"
"1803.T","清水建設","TSE","equity","japan"
"1805.T","飛島建設","TSE","equity","japan"
"1807.T","佐藤渡辺","TSE","equity","japan"
"1808.T","長谷工コーポレーション","TSE","equity","japan"
"180A.T","Global X Japan株式会社 グローバルX 超長期米国債 ETF","TSE","equity","japan"
"1810.T","松井建設","TSE","equity","japan"
"1811.T","錢高組","TSE","equity","japan"
"1812.T","鹿島建設","TSE","equity","japan"
"1813.T","不動テトラ","TSE","equity","japan"
"1814.T","大末建設","TSE","equity","japan"
"1815.T","鉄建建設","TSE","equity","japan"
"181A.T","三菱UFJアセットマネジメント株式会社 MAXIS米国国債1−3年上場投信(為替ヘッジなし)","TSE","equity","japan"
"1820.T","西松建設","TSE","equity","japan"
"1821.T","三井住友建設","TSE","equity","japan"
"1822.T","大豊建設","TSE","equity","japan"
"1826.T","佐田建設","TSE","equity","japan"
"1827.T","ナカノフドー建設","TSE","equity","japan"
"1828.T","田辺工業","TSE","equity","japan"
"182A.T","三菱UFJアセットマネジメント株式会社 MAXIS米国国債20年超上場投信(為替ヘッジなし)","TSE","equity","japan"
"1833.T","奥村組","TSE","equity","japan"
"1835.T","東鉄工業","TSE","equity","japan"
"183A.T","三菱UFJアセットマネジメント株式会社 MAXIS米国国債20年超上場投信(為替ヘッジあり)","TSE","equity","japan"
"1840.T","土屋ホールディングス","TSE","equity","japan"
"1841.T","サンユー建設","TSE","equity","japan"
"1844.T","大盛工業","TSE","equity","japan"
"1847.T","イチケン","TSE","equity","japan"
"1848.T","富士ピー・エス","TSE","equity","japan"
"1850.T","南海辰村建設","TSE","equity","japan"
"1852.T","淺沼組","TSE","equity","japan"
"1853.T","森組","TSE","equity","japan"
"1860.T","戸田建設","TSE","equity","japan"
"1861.T","熊谷組","TSE","equity","japan"
"1866.T","北野建設","TSE","equity","japan"
"1867.T","植木組","TSE","equity","japan"
"1870.T","矢作建設工業","TSE","equity","japan"
"1871.T","ピーエス三菱","TSE","equity","japan"
"1873.T","日本ハウスホールディングス","TSE","equity","japan"
"1878.T","大東建託","TSE","equity","japan"
"1879.T","新日本建設","TSE","equity","japan"
"1882.T","東亜道路工業","TSE","equity","japan"
"1884.T","日本道路","TSE","equity","japan"
"1885.T","東亜建設工業","TSE","equity","japan"
"1887.T","日本国土開発","TSE","equity","japan"
"1888.T","若築建設","TSE","equity","japan"
"1890.T","東洋建設","TSE","equity","japan"
"1893.T","五洋建設","TSE","equity","japan"
"1897.T","金下建設","TSE","equity","japan"
"1898.T","世紀東急工業","TSE","equity","japan"
"1899.T","福田組","TSE","equity","japan"
"1904.T","大成温調","TSE","equity","japan"
"1905.T","テノックス","TSE","equity","japan"
"1909.T","日本ドライケミカル","TSE","equity","japan"
"1911.T","住友林業","TSE","equity","japan"
"1914.T","日本基礎技術","TSE","equity","japan"
