"word","link","category","yomikata","description","ready"
"空き家対策特別措置法","https://www.nomura.co.jp/terms/japan/a/A02622.html","制度・法律","あきやたいさくとくべつそちほう","親から相続したまま放置するなど適切な管理が行われていない空家等が地域住民の生活環境に及ぼしている影響を改善し、あわせて空家等を活用するため制定され2015年5月より全面施行された法律。市町村は対策が必要な空き家を選別し、所有者に対して適切な管理を促進するための情報の提供や助言等を行う。特に対策が必要な「特定空家等」と認定され勧告を受けた場合、市町村は「住宅用地に係る固定資産税の軽減措置」を打ち切り、さらに改善命令に従わなければ所有者負担で強制的に建物の取り壊し等を行うことができる。","0"
"アキュムレーション","https://www.nomura.co.jp/terms/japan/a/accumulation.html","債券","あきゅむれーしょん","英語表記はAccumulation。債券を償還（額面）金額と比べて低い価額で取得すると、償還時に額面と取得価額の差額相当分の利益（償還差益）が発生する。しかしその利益を償還時に一度に計上しないで、利息の一部とみなして、所有期間に応じて均等に分散して計上すること（利益を計上すると同時に、債券の帳簿価額をその分だけ引き上げる）をアキュムレーションという。","0"
"悪材料","https://www.nomura.co.jp/terms/japan/a/A02621.html","取引（売買）","あくざいりょう","株価や相場を動かす原因のうち、価格の下落要因となる出来事・事情・情報などのこと。同義語として「売り材料」、「弱材料」、「押し下げ材料」などがある。一方、相場の上昇要因のことを「好材料」、「買い材料」、「強材料」、「押し上げ材料」と呼ぶ。悪材料が出尽くして相場下落に歯止めがかかることを「あく抜け」という。","0"
"アクチュアリー","https://www.nomura.co.jp/terms/japan/a/A03152.html","年金・保険","あくちゅありー","統計学や確率論などを活用し、将来の不確定な事象の発生に伴う諸問題の解決や分析、評価を行う数理業務の専門家。主に保険や年金の分野において、制度設計や商品開発、リスク管理、長期計画の策定などに携わっている。日本では日本アクチュアリー会の実施する資格試験に合格し正会員になることが認定資格とされている。","0"
"アクティビスト","https://www.nomura.co.jp/terms/japan/a/activist.html","会社・経営","あくてぃびすと","英語表記はActivist。株式を一定程度取得した上で、その保有株式を裏づけとして、投資先企業の経営陣に積極的に提言をおこない、企業価値の向上を目指す投資家のことをアクティビストという。いわゆる「物言う株主」で、経営陣との対話・交渉のほか、株主提案権の行使、会社提案議案の否決に向けた委任状勧誘等をおこなうことがある。ただし、最近では株式の保有割合が低くても、投資先企業に積極的に提言をおこなうケースもみられる。","0"
"アクティビスト・ファンド","https://www.nomura.co.jp/terms/japan/a/A02287.html","投資信託","あくてぃびすと・ふぁんど","一定以上の保有株式を裏付けに企業経営者に対して増配や自社株買いなどの株主還元の要求や、株主総会における議決権行使などを積極的に行う投資ファンドで、物言う株主とも呼ばれる。","0"
"アクティブ運用型ETF","https://www.nomura.co.jp/terms/japan/a/A03403.html","投資信託","あくてぃぶうんようがたいーてぃーえふ","連動対象となる指標が存在しないアクティブ運用型のETF（上場投資信託）。アクティブファンドと同様に、運用会社やファンドマネジャーが独自の調査や分析を基に、運用方針に沿って組み入れ銘柄や資産配分を決める。 米国など海外では、商品の多様性や運用コストの低さなどから人気が高まっている。国内では、2023年6月末に東京証券取引所が上場制度を導入、同年9月にアクティブ運用型ETFが初めて上場し取引を開始した。","0"
"アクティブ運用","https://www.nomura.co.jp/terms/japan/a/active.html","投資（運用）スタイル","あくてぃぶうんよう","ベンチマークとなる市場インデックス（日経平均株価やTOPIXなど)を上回る運用成績をあげることを目標とする運用方法。アクティブ運用には、マクロ的な投資環境の予測から、資産配分や投資対象を決めるトップダウンアプローチと、個別企業の調査・分析から投資対象の選別を行うボトムアップアプローチなどの手法が用いられる。これに対して、ベンチマークに連動する運用成績を目標とする運用手法をパッシブ運用、インデックス運用という。","0"
"アクティブファンド","https://www.nomura.co.jp/terms/japan/a/A02987.html","投資信託","あくてぃぶふぁんど","それぞれの運用方針に従い銘柄を選定し、市場平均以上の利益を追求したり、市場平均以下にリスクを抑制したりする運用を行う投資信託のこと。今後の成長が期待できる銘柄に投資するグロース投資や、企業価値に対して価格が割安とされる銘柄に投資するバリュー投資、テーマに基づいて特定の銘柄に投資する手法などがとられる。これに対し、株価指数に連動するような、市場全体の平均的な収益の追求を目的とする「パッシブファンド」がある。","0"
"アクティブリターン","https://www.nomura.co.jp/terms/japan/a/A02302.html","分析・指標","あくてぃぶりたーん","ポートフォリオのリターンとベンチマークのリターンとの差。アクティブ運用部分のリターンに相当し、超過リターン、超過収益率とも呼ばれる。アクティブリターンの標準偏差をとった値がトラッキングエラーとなる。インフォメーションレシオ導出の際にも用いられる。","0"
"あく抜け","https://www.nomura.co.jp/terms/japan/a/akunuke.html","相場・格言・由来","あくぬけ","悪材料が出尽くして、相場の下落が一段落すること。","0"
"アクハイヤー","https://www.nomura.co.jp/terms/japan/a/A03213.html","経済","あくはいやー","優秀な人材を獲得することを目的とした企業買収のこと。英語の「acquire（買収する）」と、「hire（雇用する）」を掛け合わせた造語。有能な経営陣や高度な専門性をもつ技術者を有し、急成長を遂げているスタートアップ企業などが対象とされることが多い。","0"
"悪目買い","https://www.nomura.co.jp/terms/japan/a/akumekai.html","相場・格言・由来","あくめがい","株価が下がっている銘柄に、市場の売り人気に逆らって買い注文を入れること。業績が悪く、回復の見込みもない銘柄を買うときに使われる。「逆張り」ともいわれる。","0"
"アクリーション","https://www.nomura.co.jp/terms/japan/a/A03198.html","債券","あくりーしょん","英語表記はAccretion。債券を償還（額面）金額よりも低い価額で取得すると、償還時に額面と取得価額の差額相当の利益（償還利益）が発生することをアクリーションという。対義語はアモチゼーション。","0"
"アクルーアル","https://www.nomura.co.jp/terms/japan/a/A02632.html","企業会計","あくるーある","アクルーアル（会計発生高）とは、決算上の利益と現金収支（キャッシュフロー）の差のことをいう。現金収入を伴う質の高い利益かどうかを見極める指標で、特別損益を除いた税引き後の利益から営業キャッシュフローを引いて算出、マイナスとなる企業は、現金収入を伴った質の高い利益を産み出している企業とされる。一般的に、企業の粉飾決算を見抜くための指標として使用されるほか、株式投資の指標としても活用されることがある。","0"
"アグフレーション","https://www.nomura.co.jp/terms/japan/a/agflation.html","経済","あぐふれーしょん","Agflationと書く。農業(Agriculture)と物価上昇(Inflation)からきた造語。農産物インフレのこと。人口増や新興国の食生活の変化による畜産向け穀物需要の増大やバイオ燃料としての生産拡大が農産物の価格が急上昇してきている。このため商品先物市場への投資マネーも流入しつつある。","0"
"上げ足","https://www.nomura.co.jp/terms/japan/a/ageasi.html","相場・格言・由来","あげあし","マーケットで使われる用語で、相場が堅調に推移している状態のときに使われる。相場が高くなっていくことを指す。","0"
"揚超","https://www.nomura.co.jp/terms/japan/a/A02799.html","経済","あげちょう","引揚超過。国と民間との間で生じた現金の受払いを表す財政資金対民間収支が、国からみて受け取り超過となった時のこと。受け超ともいう。民間経済で通貨量が減少し、金融ひっ迫の要因となる。","0"
"アコード","https://www.nomura.co.jp/terms/japan/a/A02079.html","金融","あこーど","1951年に米国の国債金利上限維持政策（国債価格支持政策）終了を宣言するために米財務省と米連邦準備理事会（FRB)が発表した共同声明文のこと。政府と中央銀行が共同で定めた協定自体を示す場合もある。","0"
"足どり","https://www.nomura.co.jp/terms/japan/a/asidori.html","相場・格言・由来","あしどり","マーケットで使われる用語で、過去の相場の動きを指す。その動きを、見て分かりやすいようにグラフで表したものをチャートといい、相場を予測する際の参考となる。足どりには、上げ足、下げ足、保ち合いの3つがある。","0"
"アジアインフラ投資銀行","https://www.nomura.co.jp/terms/japan/a/A02458.html","経済","あじあいんふらとうしぎんこう","Asian Infrastructure Investment Bank（AIIB）。アジア域内のインフラ開発・整備を進め、中長期的な経済成長の向上を図ることを目的とした国際金融機関のこと。北京を本部として2015年12月に発足し16年1月に開業。設立を主導した中国が主要出資国である。加盟は、設立時、英国、フランス、ドイツなど欧州各国も含め57カ国・地域だったが、設立後80カ国・地域へと増加している。AIIBと同様の活動を行う国際機関としては、67カ国・地域が参加するアジア開発銀行（ADB、本部はマニラ）が既にあることから、AIIBは、アジア地域の成長・発展のためにADBの活動を補完する役割を担うことが期待される半面、不透明な運営体制や融資基準への懸念、中国の影響力拡大が警戒されており、日本および米国は参加を見合わせている。","0"
"アジア欧州会合","https://www.nomura.co.jp/terms/japan/a/A02436.html","経済","あじあおうしゅうかいごう","Asia-Europe Meeting（ASEM）。アジアと欧州が対等な立場で協力関係を強化していくことを目的とした会合。既存の枠組みにとらわれない非公式な協議の場であり、政治、経済、社会・文化などを中心に活動している。 1994年にシンガポールのゴー・チョク・トン首相が「アジア欧州サミット構想」を当時の次期欧州連合（EU）議長国であったフランスのバラデュール首相に提案した結果、1996年3月にバンコク（タイ）で「アジア欧州会合第1回首脳会合」の開催が実現した。 アジア側21カ国と1機関、欧州側30カ国と1機関の合計51カ国2機関で構成されている。 アジア側： インド、 インドネシア、豪州、 カザフスタン、韓国、 カンボジア、シンガポール、タイ、中国、日本、ニュージーランド、 パキスタン、バングラデシュ、フィリピン、ブルネイ、ベトナム、マレーシア、ミャンマー、モンゴル、ラオス、ロシア、ASEAN事務局（全21カ国と1機関） 欧州側： アイルランド、イタリア、 英国、エストニア、オーストリア、オランダ、キプロス、ギリシャ、クロアチア、スイス、スウェーデン、スペイン、スロバキア、スロベニア、チェコ、デンマーク、ドイツ、ノルウェー、ハンガリー、フィンランド、 フランス、ブルガリア、ベルギー、ポーランド、ポルトガル、マルタ、ラトビア、リトアニア、ルーマニア、ルクセンブルグ、 EU（30カ国と1機関）","0"
"アジア開発銀行","https://www.nomura.co.jp/terms/japan/a/adb.html","経済","あじあかいはつぎんこう","正称はAsian Development Bank(ADB)。フィリピンのマニラに本社機構のある、国際開発金融機関の一つ。アジア・太平洋地域における経済成長と経済協力、および開発途上国の経済発展のために、資金面から援助することを主な目的としている。中国主導で2015年12月に発足したAIIB（アジアインフラ投資銀行）とは表面的には友好関係にあり、協調融資も積極的に行っていく方向。","0"
"アジア地域ファンドパスポート","https://www.nomura.co.jp/terms/japan/a/A02817.html","投資信託","あじあちいきふぁんどぱすぽーと","略称はARFP（Asia Region Funds Passport）。アジア太平洋経済協力（APEC）のメンバーのうち、参加を表明した国の間で、一定の要件を満たし承認を受けた投資信託を簡易な手続きのみで相互に販売できるようにするための枠組みのこと。参加国は日本、オーストラリア、韓国、ニュージーランドおよびタイで、2019年2月1日より受入手続きを開始。参加国間で投資信託販売における規制を共通化・簡素化し、国境を越えた投資信託の販売促進を強化する。投資家にとっては商品の選択肢が広がり、より多様な投資機会が増えるのに加え、各国の競争によるサービスの向上、制度整備の進展などが期待されている。","0"
"アセットアロケーション","https://www.nomura.co.jp/terms/japan/a/assetall.html","資産管理","あせっとあろけーしょん","アセット(資産)のアロケーション(配分)、つまり投資対象のリスクをコントロールしながらリターンを獲得するための資産配分のこと。日本古来の「財産三分法」も、広義においてアセットアロケーションの一種といえる。アセットアロケーションにあたっては、投資環境等資本市場の状況、各資産の期待リターン、リスク、資産間の相関（動き方の類似性）の予測、分析などの投資対象に関する情報と、投資家の資産、負債、およびリスクに関する考え方などの投資家に関する情報の双方が重要である。 ","0"
"アセットオーナー","https://www.nomura.co.jp/terms/japan/a/A03343.html","証券ビジネス","あせっとおーなー","機関投資家のうち、年金基金や銀行、保険会社等の金融機関、財団等、資産を保有する組織のこと。資産運用を委託する顧客（受益者）の資金を預かって業務委託契約を結び、受託者責任に基づいて受益者のために資産を管理し、運用益の獲得を目指す。海外では資産を自らが運用（インハウス運用）するアセットオーナーがいるが、日本では一般的に外部の運用機関（アセットマネジャー）へ運用を委託する。","0"
"アセットクラス","https://www.nomura.co.jp/terms/japan/a/assetclass.html","投資信託","あせっとくらす","同じようなリターン(値動き)やリスク特性を持つ投資対象の資産種類・分類のこと。国内株式、国内債券、外国株式、外国債券、商品、REITなどがある。","0"
"アセットスワップ","https://www.nomura.co.jp/terms/japan/a/A02063.html","金利・為替","あせっとすわっぷ","保有する債券等の金利や通貨を交換するスワップ取引。例えば、保有している国債から受け取るクーポン（利息収入）を固定金利として支払い、その対価として変動金利を受け取る取引などがある。","0"
"アセットマネジャー","https://www.nomura.co.jp/terms/japan/a/A03344.html","証券ビジネス","あせっとまねじゃー","機関投資家のうち、投資顧問会社や投資信託会社、信託銀行等、資産の運用を行う組織のこと。アセットオーナー（資産保有者）からの委託を受けて実際に企業へ投資し、株式、債券、投資信託等の売買をすることによって資産の効率的な運用を図る。","0"
"頭打ち","https://www.nomura.co.jp/terms/japan/a/a01842.html","相場・格言・由来","あたまうち","上昇基調が続いた相場の勢いが鈍り、伸び悩んできた状態。相場が大天井に達してこれ以上の上昇が期待できない場合と、もちあい状態で新たな材料が出ることで再び上昇基調になる場合があり、見極めが難しい。","0"
"当（た）り屋","https://www.nomura.co.jp/terms/japan/a/A02588.html","相場・格言・由来","あたりや","相場予測がよく当たり、利益を得ている投資家のこと。利益を得ている「当（た）り屋」と同じ売買をすれば、その恩恵にあずかれるという相場格言を「当（た）り屋につけ」という。","0"
"アット・ザ・マネー","https://www.nomura.co.jp/terms/japan/a/atthemoney.html","取引（売買）","あっと・ざ・まねー","オプション取引において、オプション取引の権利所有者が権利行使した場合に、利益がゼロの状態をいう。コール(購入)オプション、プット(売却)オプションともに原資産価格と行使価格が等しい状態。","0"
"アップ率","https://www.nomura.co.jp/terms/japan/a/A02864.html","債券","あっぷりつ","株式へ転換可能なCB（転換社債型新株予約権付社債）の転換価格が、発行企業の株式の時価を上回る率のこと。計算式は（転換価格÷転換価格決定時の株価）－1（単位は％）企業が株価のかなり上がった状態までCBの転換を抑えたい場合、アップ率を高く設定したハイプレミアム・ハイクーポン債を発行する。一方、企業がCBの早期転換で利子支払い負担を軽減したい場合、転換価格が株価と同額でアップ率ゼロのゼロプレミアム債を発行する。バブル崩壊後の株式相場低迷期にはゼロプレミアム債の発行が増加した。","0"
"後入先出法","https://www.nomura.co.jp/terms/japan/a/A02517.html","取引（売買）","あといれさきだしほう","棚卸資産の評価方法の一つであり、後に仕入れた新しい商品から順次販売していったと想定し、期末の棚卸資産を計算する方法のことを示す。先入先出法と逆になる。国際会計基準では、後入先出法は認められていないため、わが国の企業会計基準でも国際基準や実勢に合わせて2010年4月以降開始する事業年度より廃止された。","0"
"アナリスト","https://www.nomura.co.jp/terms/japan/a/analyst.html","分析・指標","あなりすと","通常、証券アナリストのこと。企業の財務分析、業界分析、経営者インタビューなどをもとに、株式の投資価値の分析・評価をおこなう。多くの場合、証券会社や運用会社の調査部に所属し、彼らのおこなった企業の分析・評価が、個人投資家、機関投資家、ファンドマネージャーに提供されて運用判断に活用される。証券会社など株を売る側のアナリストは、セルサイド・アナリストと呼ばれ、顧客の投資家に対するサービスとしてレポートを作成する。一方、機関投資家など株を買い運用を業務とする会社のアナリストは、バイサイド・アナリストと呼ばれ、自社の資産運用のためにレポートを作成する。債券の信用分析をおこなうクレジット・アナリスト、投資信託の評価を行うファンド・アナリストなど、投資資産に応じて各種タイプのアナリストもいる。","0"
"アニュアルレポート","https://www.nomura.co.jp/terms/japan/a/annualreport.html","ディスクロージャー","あにゅあるれぽーと","英語表記はAnnual Report。株式を上場している企業が、事業年度終了後に作成する報告書で年次報告書ともいう。","0"
"アノマリー","https://www.nomura.co.jp/terms/japan/a/anomaly.html","投資理論","あのまりー","効率的市場仮説では説明のつかない証券価格の変則性。明確な理論や根拠があるわけではないが当たっているかもしれないとされる相場の経験則や事象である場合が多い。英語表記はAnomaly。たとえば、「1月効果」、「5月に売り逃げろ」（Sell in May and go away）、「曜日効果」、「モメンタム効果」、「リターン・リバーサル」、「低PER効果」、「小型株効果」などがある。","0"
"アフターアワー","https://www.nomura.co.jp/terms/japan/a/A02547.html","取引（売買）","あふたーあわー","米国の株式市場で、立会取引時間後に行われる取り引きのこと。立会取引時間前に行われる取り引きのことをプレマーケットという。","0"
"アフリカ開発会議","https://www.nomura.co.jp/terms/japan/a/A02869.html","経済","あふりかかいはつかいぎ","アフリカの開発をテーマとする国際会議（TICAD、Tokyo International Conference on African Development）。日本政府が1993年から主導し、国連（UN）、国連開発計画（UNDP）、アフリカ連合委員会（AUC）および世界銀行と共同で開催している。第6回の会議（2016年8月）はケニアのナイロビで開催されたが、それ以外は日本で開催されている。","0"
"アフリカ開発銀行","https://www.nomura.co.jp/terms/japan/a/A02131.html","経済","あふりかかいはつぎんこう","正称はAfrican Development Bank。コートジボワールに本部機関がある、国際開発金融機関の一つ。アフリカ諸国に対し、持続的な経済・社会発展のために、資金面から援助することを主な目的としている。アフリカの全独立国と日米等のアフリカ域外諸国が加盟。","0"
"アベノミクス","https://www.nomura.co.jp/terms/japan/a/A02089.html","経済","あべのみくす","2012年12月に発足した第2次安倍晋三内閣がデフレ脱却に向けて掲げた経済政策。「大胆な金融政策」、「機動的な財政政策」、「民間投資を喚起する成長戦略」の「3本の矢」を柱とする。日本銀行にインフレターゲットの導入を求めて実際に導入が決まるなど、これまでにない踏み込んだ政策もとられた。 2015年10月の第3次安倍内閣では、アベノミクスの第2ステージとして「一億総活躍プラン」を推進すると発表。新しい3本の矢として、「希望を生み出す強い経済」、「夢を紡ぐ子育て支援」、「安心につながる社会保障」を打ち出し、一億総活躍国民会議や働き方改革実現会議が設けられた。 2017年11月の第4次安倍内閣では、アベノミクスの加速を目指して「生産性革命」と「人づくり革命」を推進し、少子高齢化を克服するための「新しい経済政策パッケージ」を決定した。","0"
"甘い","https://www.nomura.co.jp/terms/japan/a/amai.html","相場・格言・由来","あまい","株価などの相場がやや下落している状態を表すマーケット用語で、下げ気味ではあるが値動きが弱い時に用いられる。","0"
"アマゾンエフェクト","https://www.nomura.co.jp/terms/japan/a/A03130.html","相場・格言・由来","あまぞんえふぇくと","インターネット通販サイト米アマゾン・ドット・コムの急成長に伴い様々な市場で進行している混乱や変革などの現象を指す。消費者の購買行動が実店舗からオンラインショッピングへと移行したことで、米国内の百貨店やショッピングモールが閉鎖に追い込まれるなど、既存の米消費関連企業が業績悪化や株価低迷に陥った。同社による買収や新規事業拡大の影響は他の産業分野にも及んでいる。アマゾンエフェクトで収益下振れが見込まれる小売関連銘柄約50社で構成される「アマゾン恐怖銘柄指数（Death by Amazon）」も設定された。","0"
"アマゾン恐怖銘柄指数","https://www.nomura.co.jp/terms/japan/a/A03158.html","インデックス","あまぞんきょうふしすう","アマゾン・ドット・コムの収益拡大や新規事業参入などの影響を受け、業績の悪化が見込まれる米国の小売関連企業銘柄54社以上で構成された株価指数のこと。小売業世界最大手のウォルマートや百貨店最大手のメーシーズなども含まれる。米投資情報会社ビスポーク・インベストメント・グループが2012年2月に設定したもので、英語でデス・バイ・アマゾン（Death by Amazon）と呼ぶ。","0"
"アメリカンタイプ","https://www.nomura.co.jp/terms/japan/a/americantype.html","取引（売買）","あめりかんたいぷ","オプション取引において、満期日以前にいつでも権利行使ができるタイプのこと。一方、権利行使日にのみ行使できるタイプをヨーロピアンタイプという。","0"
"アモチゼーション","https://www.nomura.co.jp/terms/japan/a/amortization.html","債券","あもちぜーしょん","英語表記はAmortization。債券を償還（額面）金額と比べて高い価額で取得すると、償還時に額面と取得価額の差額相当分の損失（償還差損）が発生する。償還時に、その損失を一度に計上するかわりに、所有期間に応じて均等に分散して計上すること（損失を計上すると同時に、債券の帳簿価額をその分だけ引き下げる）をアモチゼーションという。","0"
"あや","https://www.nomura.co.jp/terms/japan/a/aya.html","相場・格言・由来","あや","長期的にみると相場に大きな影響は与えないが、相場が一時的に小さく上下する様を指す。上昇局面で一時的に少し下がることを「あや押し」、一方、下落局面で一時的に少し上がることを「あや戻し」という。","0"
"あやおし","https://www.nomura.co.jp/terms/japan/a/ayaosi.html","相場・格言・由来","あやおし","相場が小さく変動する様をあやといい、上昇基調にある相場が一時的に少し下がることをいう。一方、下げ基調の際、一時的に少し上がることは、あや戻しと呼ばれる。","0"
"あや戻し","https://www.nomura.co.jp/terms/japan/a/ayamodosi.html","相場・格言・由来","あやもどし","相場が小さく変動する様をあやといい、下落基調にある相場が一時的に少し上がることをいう。一方、上げ基調の際、一時的に少し下がることは、あや押しと呼ばれる。","0"
"歩み値","https://www.nomura.co.jp/terms/japan/a/A02613.html","証券市場","あゆみね","取引時間中の株式などの価格（約定・気配価格）の推移を時系列で表示したもの。","0"
"アルゴリズム取引","https://www.nomura.co.jp/terms/japan/a/algorithmic.html","証券市場","あるごりずむとりひき","コンピューターシステムが株価や出来高などに応じて、自動的に株式売買注文のタイミングや数量を決めて注文を繰り返す取引のこと。具体的には、自らの取引によって株価が乱高下しないように売買注文を分散したり、また株価が割安と判断したタイミングで自動的に買い注文を出したりする。利用については、投資家が発注時に証券会社が提供する複数の執行ストラテジー（アルゴリズム）から、自分に合うものを選択する方法が一般的である。機関投資家の売買注文については、従来から証券会社の電子取引執行システムを活用したダイレクト・マーケット・アクセス（DMA）により、取引所に直接、注文を自動執行する仕組みもあるが、アルゴリズム取引は、より有利な価格で約定できるための証券会社独自のノウハウをプログラミングとして盛り込んでいるのが特徴である。アルゴリズム取引は、当初は米国の機関投資家を中心に広まり、日本国内の機関投資家にも普及している。","0"
"アルトコイン","https://www.nomura.co.jp/terms/japan/a/A03151.html","経済","あるとこいん","ビットコインの後に登場した暗号資産（仮想通貨）の総称で、ビットコインの代わりのコイン（alternative coin）を略して「アルトコイン（altcoin）」と呼ぶ。ほとんどのアルトコインの基本的な仕組みはビットコインを元に作られており、ビットコインの欠点や機能性を改善した特徴的なアルトコインが市場規模を拡大している。一方で、ビットコインに比べると流動性や時価総額が低く、信頼性や安全性に問題があるものも多い。代表的なアルトコインとしてリップル、イーサリアムなどがある。","0"
